,char1,char2,Part,word_count,pos,neu,neg,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,char1x,char1y,char2x,char2y
0,Anna,Dolly,1,4011,0.159,0.742,0.099,0.008726003490401396,0.014709548740962353,0.004238344552480678,0.008227374719521317,0.015956120668162554,0.01969583644976315,0.030416355023684866,0.007728745948641236,0.009972575417601595,0.016454749439042633,0.0,1.0,0.9749,-0.2225
1,Anna,Vronsky,1,2850,0.146,0.793,0.061,0.004912280701754386,0.012982456140350877,0.002105263157894737,0.0059649122807017545,0.018245614035087718,0.017894736842105262,0.03508771929824561,0.00631578947368421,0.011228070175438596,0.02,0.0,1.0,0.4339,-0.901
2,Karenin,Stiva,1,104,0.055,0.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.019230769230769232,-0.4339,-0.901,-0.7818,0.6235
3,Anna,Stiva,1,491,0.115,0.83,0.055,0.004073319755600814,0.02240325865580448,0.002036659877800407,0.014256619144602852,0.012219959266802444,0.014256619144602852,0.034623217922606926,0.006109979633401222,0.008146639511201629,0.02240325865580448,0.0,1.0,-0.7818,0.6235
4,Dolly,Levin,1,24,0.115,0.885,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.9749,-0.2225,0.7818,0.6235
5,Levin,Stiva,1,7241,0.151,0.78,0.069,0.006076508769506974,0.013257837315287943,0.003038254384753487,0.00718132854578097,0.017815218892418175,0.01408645214749344,0.03784007733738434,0.006352713713575473,0.011048197762739954,0.022648805413616902,0.7818,0.6235,-0.7818,0.6235
6,Levin,Vronsky,1,267,0.173,0.762,0.065,0.00749063670411985,0.026217228464419477,0.00749063670411985,0.00749063670411985,0.026217228464419477,0.011235955056179775,0.0449438202247191,0.011235955056179775,0.018726591760299626,0.0299625468164794,0.7818,0.6235,0.4339,-0.901
7,Dolly,Stiva,1,3103,0.103,0.75,0.147,0.010634869481147276,0.017402513696422817,0.007734450531743474,0.018369320012890752,0.019013857557202706,0.030937802126973897,0.030937802126973897,0.016113438607798906,0.009345794392523364,0.022881082823074442,0.9749,-0.2225,-0.7818,0.6235
8,Karenin,Vronsky,1,318,0.113,0.822,0.065,0.006289308176100629,0.012578616352201259,0.0031446540880503146,0.0,0.009433962264150943,0.025157232704402517,0.0220125786163522,0.006289308176100629,0.006289308176100629,0.012578616352201259,-0.4339,-0.901,0.4339,-0.901
9,Anna,Kitty,1,1728,0.167,0.783,0.05,0.008101851851851851,0.015625,0.003472222222222222,0.009259259259259259,0.02141203703703704,0.017361111111111112,0.03819444444444445,0.00636574074074074,0.012152777777777778,0.01678240740740741,0.0,1.0,-0.9749,-0.2225
