"Unnamed: 0","airport","airport_name","carrier_name","arr_delay","arr_flights","avg_delay"
"1","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Air Wisconsin",1921,118,16.2796610169492
"2","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allegiant",33458,1643,20.3639683505782
"3","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Endeavor",4386,657,6.67579908675799
"4","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Envoy",550,69,7.97101449275362
"5","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","PSA",12828,1096,11.7043795620438
"6","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Piedmont",920,31,29.6774193548387
"7","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Republic",158,1,158
"8","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","SkyWest",17726,942,18.8174097664544
"9","ABI","Abilene, TX: Abilene Regional","Envoy",9935,1361,7.29977957384276
"10","ABQ","Albuquerque, NM: Albuquerque International Sunport","Alaska",5900,621,9.50080515297907
"11","ABQ","Albuquerque, NM: Albuquerque International Sunport","American",58119,3339,17.4061096136568
"12","ABQ","Albuquerque, NM: Albuquerque International Sunport","CommuteAir",1805,85,21.2352941176471
"13","ABQ","Albuquerque, NM: Albuquerque International Sunport","Delta",12644,1584,7.98232323232323
"14","ABQ","Albuquerque, NM: Albuquerque International Sunport","Envoy",5330,702,7.59259259259259
"15","ABQ","Albuquerque, NM: Albuquerque International Sunport","Frontier",41,1,41
"16","ABQ","Albuquerque, NM: Albuquerque International Sunport","Horizon",305,111,2.74774774774775
"17","ABQ","Albuquerque, NM: Albuquerque International Sunport","JetBlue",8027,217,36.9907834101382
"18","ABQ","Albuquerque, NM: Albuquerque International Sunport","Mesa",10781,485,22.2288659793814
"19","ABQ","Albuquerque, NM: Albuquerque International Sunport","SkyWest",20815,3448,6.03683294663573
"20","ABQ","Albuquerque, NM: Albuquerque International Sunport","Southwest",109579,10976,9.98350947521866
"21","ABQ","Albuquerque, NM: Albuquerque International Sunport","Spirit",4929,374,13.1791443850267
"22","ABQ","Albuquerque, NM: Albuquerque International Sunport","United",35022,2263,15.4759169244366
"23","ABR","Aberdeen, SD: Aberdeen Regional","SkyWest",5469,725,7.54344827586207
"24","ABY","Albany, GA: Southwest Georgia Regional","Endeavor",5221,698,7.47994269340974
"25","ABY","Albany, GA: Southwest Georgia Regional","SkyWest",1179,116,10.1637931034483
"26","ACK","Nantucket, MA: Nantucket Memorial","Envoy",624,50,12.48
"27","ACK","Nantucket, MA: Nantucket Memorial","United Express",3797,312,12.1698717948718
"28","ACK","Nantucket, MA: Nantucket Memorial","JetBlue",24425,1038,23.5308285163776
"29","ACK","Nantucket, MA: Nantucket Memorial","Republic",4914,528,9.30681818181818
"30","ACT","Waco, TX: Waco Regional","Envoy",33,23,1.43478260869565
"31","ACT","Waco, TX: Waco Regional","SkyWest",12793,1045,12.2421052631579
"32","ACV","Arcata/Eureka, CA: California Redwood Coast Humboldt County","SkyWest",25603,1665,15.3771771771772
"33","ACY","Atlantic City, NJ: Atlantic City International","Spirit",51822,3032,17.0916886543536
"34","ADK","Adak Island, AK: Adak","Alaska",690,104,6.63461538461539
"35","ADQ","Kodiak, AK: Kodiak Airport","Alaska",6814,790,8.6253164556962
"36","AEX","Alexandria, LA: Alexandria International","Endeavor",4503,714,6.30672268907563
"37","AEX","Alexandria, LA: Alexandria International","SkyWest",15046,1095,13.7406392694064
"38","AGS","Augusta, GA: Augusta Regional at Bush Field","American",317,19,16.6842105263158
"39","AGS","Augusta, GA: Augusta Regional at Bush Field","Delta",846,22,38.4545454545455
"40","AGS","Augusta, GA: Augusta Regional at Bush Field","Endeavor",6812,925,7.36432432432432
"41","AGS","Augusta, GA: Augusta Regional at Bush Field","Envoy",7445,521,14.2898272552783
"42","AGS","Augusta, GA: Augusta Regional at Bush Field","PSA",10560,1029,10.2623906705539
"43","AGS","Augusta, GA: Augusta Regional at Bush Field","Piedmont",9910,1141,8.68536371603856
"44","AGS","Augusta, GA: Augusta Regional at Bush Field","Republic",319,26,12.2692307692308
"45","AGS","Augusta, GA: Augusta Regional at Bush Field","SkyWest",15974,1099,14.5350318471338
"46","AKN","King Salmon, AK: King Salmon Airport","Alaska",1409,215,6.55348837209302
"47","AKN","King Salmon, AK: King Salmon Airport","Horizon",3866,317,12.1955835962145
"48","ALB","Albany, NY: Albany International","Air Wisconsin",1491,121,12.3223140495868
"49","ALB","Albany, NY: Albany International","Allegiant",6564,551,11.9128856624319
"50","ALB","Albany, NY: Albany International","American",19005,1028,18.4873540856031
"51","ALB","Albany, NY: Albany International","CommuteAir",15862,1089,14.5656565656566
"52","ALB","Albany, NY: Albany International","Delta",18551,1207,15.3695111847556
"53","ALB","Albany, NY: Albany International","Endeavor",12009,1390,8.63956834532374
"54","ALB","Albany, NY: Albany International","Envoy",704,72,9.77777777777778
"55","ALB","Albany, NY: Albany International","United Express",1969,259,7.6023166023166
"56","ALB","Albany, NY: Albany International","JetBlue",22880,643,35.5832037325039
"57","ALB","Albany, NY: Albany International","Mesa",262,2,131
"58","ALB","Albany, NY: Albany International","PSA",14331,1296,11.0578703703704
"59","ALB","Albany, NY: Albany International","Piedmont",21603,1565,13.8038338658147
"60","ALB","Albany, NY: Albany International","Republic",5973,906,6.59271523178808
"61","ALB","Albany, NY: Albany International","SkyWest",7136,651,10.9615975422427
"62","ALB","Albany, NY: Albany International","Southwest",42211,3371,12.5218036191041
"63","ALB","Albany, NY: Albany International","United",9535,779,12.2400513478819
"64","ALO","Waterloo, IA: Waterloo Regional","Air Wisconsin",7961,568,14.0158450704225
"65","ALO","Waterloo, IA: Waterloo Regional","Envoy",953,75,12.7066666666667
"66","ALO","Waterloo, IA: Waterloo Regional","Piedmont",694,43,16.1395348837209
"67","ALW","Walla Walla, WA: Walla Walla Regional","Horizon",726,137,5.2992700729927
"68","ALW","Walla Walla, WA: Walla Walla Regional","SkyWest",1840,344,5.34883720930233
"69","AMA","Amarillo, TX: Rick Husband Amarillo International","American",28054,761,36.8646517739816
"70","AMA","Amarillo, TX: Rick Husband Amarillo International","CommuteAir",5009,423,11.8416075650118
"71","AMA","Amarillo, TX: Rick Husband Amarillo International","Envoy",6841,1002,6.82734530938124
"72","AMA","Amarillo, TX: Rick Husband Amarillo International","Mesa",2851,123,23.1788617886179
"73","AMA","Amarillo, TX: Rick Husband Amarillo International","SkyWest",17849,1109,16.0946798917944
"74","AMA","Amarillo, TX: Rick Husband Amarillo International","Southwest",22525,2409,9.35035284350353
"75","ANC","Anchorage, AK: Ted Stevens Anchorage International","Alaska",130400,13958,9.34231265224244
"76","ANC","Anchorage, AK: Ted Stevens Anchorage International","American",10815,462,23.4090909090909
"77","ANC","Anchorage, AK: Ted Stevens Anchorage International","Delta",20508,2364,8.6751269035533
"78","ANC","Anchorage, AK: Ted Stevens Anchorage International","Horizon",35225,3524,9.99574347332577
"79","ANC","Anchorage, AK: Ted Stevens Anchorage International","United",17285,1066,16.2148217636023
"80","APN","Alpena, MI: Alpena County Regional","SkyWest",6590,451,14.6119733924612
"81","ART","Watertown, NY: Watertown International","Air Wisconsin",1209,13,93
"82","ART","Watertown, NY: Watertown International","Piedmont",3440,681,5.05139500734214
"83","ASE","Aspen, CO: Aspen Pitkin County Sardy Field","SkyWest",142538,6591,21.6261568805947
"84","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Air Wisconsin",0,1,0
"85","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Alaska",9807,1147,8.55013077593723
"86","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","American",184733,8593,21.4980798324217
"87","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Delta",2390432,219927,10.8692066003719
"88","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Endeavor",212807,20568,10.3465091404123
"89","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Envoy",5113,503,10.1650099403579
"90","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Frontier",329232,10531,31.2631279080809
"91","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","JetBlue",99311,3589,27.6709389802173
"92","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Mesa",7593,442,17.1787330316742
"93","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","PSA",13503,1237,10.9159256265158
"94","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Republic",15925,2204,7.22549909255898
"95","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","SkyWest",168623,9737,17.3177570093458
"96","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Southwest",380716,36667,10.383069244825
"97","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Spirit",274905,13658,20.1277639478694
"98","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","United",126681,8098,15.6434922203013
"99","ATW","Appleton, WI: Appleton International","Air Wisconsin",38030,1608,23.6504975124378
"100","ATW","Appleton, WI: Appleton International","Allegiant",41294,1180,34.9949152542373
"101","ATW","Appleton, WI: Appleton International","Delta",1963,358,5.48324022346369
"102","ATW","Appleton, WI: Appleton International","Endeavor",1852,215,8.61395348837209
"103","ATW","Appleton, WI: Appleton International","Envoy",5053,319,15.8401253918495
"104","ATW","Appleton, WI: Appleton International","United Express",102,1,102
"105","ATW","Appleton, WI: Appleton International","Piedmont",757,32,23.65625
"106","ATW","Appleton, WI: Appleton International","SkyWest",38059,2846,13.3728039353479
"107","AUS","Austin, TX: Austin - Bergstrom International","Alaska",28336,2850,9.94245614035088
"108","AUS","Austin, TX: Austin - Bergstrom International","Allegiant",23728,1274,18.6248037676609
"109","AUS","Austin, TX: Austin - Bergstrom International","American",310889,15627,19.894349523261
"110","AUS","Austin, TX: Austin - Bergstrom International","CommuteAir",0,2,0
"111","AUS","Austin, TX: Austin - Bergstrom International","Delta",136201,10761,12.6569092091813
