Unnamed: 0,airport,airport_name,carrier_name,arr_delay,arr_flights,avg_delay,longitude,latitude
1,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Air Wisconsin,1921,118,16.2796610169492,-75.44040167,40.65236278
2,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Allegiant,33458,1643,20.3639683505782,-75.44040167,40.65236278
3,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Endeavor,4386,657,6.67579908675799,-75.44040167,40.65236278
4,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Envoy,550,69,7.97101449275362,-75.44040167,40.65236278
5,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",PSA,12828,1096,11.7043795620438,-75.44040167,40.65236278
6,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Piedmont,920,31,29.6774193548387,-75.44040167,40.65236278
7,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Republic,158,1,158.0,-75.44040167,40.65236278
8,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",SkyWest,17726,942,18.8174097664544,-75.44040167,40.65236278
9,ABI,"Abilene, TX: Abilene Regional",Envoy,9935,1361,7.29977957384276,-99.68189722,32.41132
10,ABQ,"Albuquerque, NM: Albuquerque International Sunport",Alaska,5900,621,9.50080515297907,-106.6091944,35.04022222
11,ABQ,"Albuquerque, NM: Albuquerque International Sunport",American,58119,3339,17.4061096136568,-106.6091944,35.04022222
12,ABQ,"Albuquerque, NM: Albuquerque International Sunport",CommuteAir,1805,85,21.2352941176471,-106.6091944,35.04022222
13,ABQ,"Albuquerque, NM: Albuquerque International Sunport",Delta,12644,1584,7.98232323232323,-106.6091944,35.04022222
14,ABQ,"Albuquerque, NM: Albuquerque International Sunport",Envoy,5330,702,7.59259259259259,-106.6091944,35.04022222
15,ABQ,"Albuquerque, NM: Albuquerque International Sunport",Frontier,41,1,41.0,-106.6091944,35.04022222
16,ABQ,"Albuquerque, NM: Albuquerque International Sunport",Horizon,305,111,2.74774774774775,-106.6091944,35.04022222
17,ABQ,"Albuquerque, NM: Albuquerque International Sunport",JetBlue,8027,217,36.9907834101382,-106.6091944,35.04022222
18,ABQ,"Albuquerque, NM: Albuquerque International Sunport",Mesa,10781,485,22.2288659793814,-106.6091944,35.04022222
19,ABQ,"Albuquerque, NM: Albuquerque International Sunport",SkyWest,20815,3448,6.03683294663573,-106.6091944,35.04022222
20,ABQ,"Albuquerque, NM: Albuquerque International Sunport",Southwest,109579,10976,9.98350947521866,-106.6091944,35.04022222
21,ABQ,"Albuquerque, NM: Albuquerque International Sunport",Spirit,4929,374,13.1791443850267,-106.6091944,35.04022222
22,ABQ,"Albuquerque, NM: Albuquerque International Sunport",United,35022,2263,15.4759169244366,-106.6091944,35.04022222
23,ABR,"Aberdeen, SD: Aberdeen Regional",SkyWest,5469,725,7.54344827586207,-98.42183333,45.44905556
24,ABY,"Albany, GA: Southwest Georgia Regional",Endeavor,5221,698,7.47994269340974,-84.19447333,31.535515
25,ABY,"Albany, GA: Southwest Georgia Regional",SkyWest,1179,116,10.1637931034483,-84.19447333,31.535515
26,ACK,"Nantucket, MA: Nantucket Memorial",Envoy,624,50,12.48,-70.06018139,41.25305194
27,ACK,"Nantucket, MA: Nantucket Memorial",United Express,3797,312,12.1698717948718,-70.06018139,41.25305194
28,ACK,"Nantucket, MA: Nantucket Memorial",JetBlue,24425,1038,23.5308285163776,-70.06018139,41.25305194
29,ACK,"Nantucket, MA: Nantucket Memorial",Republic,4914,528,9.30681818181818,-70.06018139,41.25305194
30,ACT,"Waco, TX: Waco Regional",Envoy,33,23,1.43478260869565,-97.23051917,31.61128833
31,ACT,"Waco, TX: Waco Regional",SkyWest,12793,1045,12.2421052631579,-97.23051917,31.61128833
32,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",SkyWest,25603,1665,15.3771771771772,-124.1086189,40.97811528
33,ACY,"Atlantic City, NJ: Atlantic City International",Spirit,51822,3032,17.0916886543536,-74.57716667,39.45758333
34,ADK,"Adak Island, AK: Adak",Alaska,690,104,6.63461538461539,-176.6460306,51.87796389
35,ADQ,"Kodiak, AK: Kodiak Airport",Alaska,6814,790,8.6253164556962,-152.4938553,57.74996778
36,AEX,"Alexandria, LA: Alexandria International",Endeavor,4503,714,6.30672268907563,-92.54855611,31.32737167
37,AEX,"Alexandria, LA: Alexandria International",SkyWest,15046,1095,13.7406392694064,-92.54855611,31.32737167
38,AGS,"Augusta, GA: Augusta Regional at Bush Field",American,317,19,16.6842105263158,-81.96449611,33.369955
39,AGS,"Augusta, GA: Augusta Regional at Bush Field",Delta,846,22,38.4545454545455,-81.96449611,33.369955
40,AGS,"Augusta, GA: Augusta Regional at Bush Field",Endeavor,6812,925,7.36432432432432,-81.96449611,33.369955
41,AGS,"Augusta, GA: Augusta Regional at Bush Field",Envoy,7445,521,14.2898272552783,-81.96449611,33.369955
42,AGS,"Augusta, GA: Augusta Regional at Bush Field",PSA,10560,1029,10.2623906705539,-81.96449611,33.369955
43,AGS,"Augusta, GA: Augusta Regional at Bush Field",Piedmont,9910,1141,8.68536371603856,-81.96449611,33.369955
44,AGS,"Augusta, GA: Augusta Regional at Bush Field",Republic,319,26,12.2692307692308,-81.96449611,33.369955
45,AGS,"Augusta, GA: Augusta Regional at Bush Field",SkyWest,15974,1099,14.5350318471338,-81.96449611,33.369955
46,AKN,"King Salmon, AK: King Salmon Airport",Alaska,1409,215,6.55348837209302,-156.6492175,58.67680167
47,AKN,"King Salmon, AK: King Salmon Airport",Horizon,3866,317,12.1955835962145,-156.6492175,58.67680167
48,ALB,"Albany, NY: Albany International",Air Wisconsin,1491,121,12.3223140495868,-73.80297861,42.74811944
49,ALB,"Albany, NY: Albany International",Allegiant,6564,551,11.9128856624319,-73.80297861,42.74811944
50,ALB,"Albany, NY: Albany International",American,19005,1028,18.4873540856031,-73.80297861,42.74811944
51,ALB,"Albany, NY: Albany International",CommuteAir,15862,1089,14.5656565656566,-73.80297861,42.74811944
52,ALB,"Albany, NY: Albany International",Delta,18551,1207,15.3695111847556,-73.80297861,42.74811944
53,ALB,"Albany, NY: Albany International",Endeavor,12009,1390,8.63956834532374,-73.80297861,42.74811944
54,ALB,"Albany, NY: Albany International",Envoy,704,72,9.77777777777778,-73.80297861,42.74811944
55,ALB,"Albany, NY: Albany International",United Express,1969,259,7.6023166023166,-73.80297861,42.74811944
56,ALB,"Albany, NY: Albany International",JetBlue,22880,643,35.5832037325039,-73.80297861,42.74811944
57,ALB,"Albany, NY: Albany International",Mesa,262,2,131.0,-73.80297861,42.74811944
58,ALB,"Albany, NY: Albany International",PSA,14331,1296,11.0578703703704,-73.80297861,42.74811944
59,ALB,"Albany, NY: Albany International",Piedmont,21603,1565,13.8038338658147,-73.80297861,42.74811944
60,ALB,"Albany, NY: Albany International",Republic,5973,906,6.59271523178808,-73.80297861,42.74811944
