viz,orig_lat,orig_long,dest_lat,dest_long
5,13.4834,144.796005,21.32062,-157.924228
5,21.32062,-157.924228,-17.7554,177.442993
7,9.07136,-79.383499,25.7932,-80.290604
8,-17.7554,177.442993,1.35019,103.994003
8,1.35019,103.994003,-26.1392,28.246
8,40.080101,116.584999,1.35019,103.994003
9,-26.1392,28.246,25.2528,55.364399
9,40.080101,116.584999,25.2528,55.364399
9,1.35019,103.994003,25.2528,55.364399
9,25.7932,-80.290604,25.2528,55.364399
10,1.35019,103.994003,8.97789,38.799301
10,40.080101,116.584999,8.97789,38.799301
10,-26.1392,28.246,8.97789,38.799301
10,8.97789,38.799301,25.2528,55.364399
12,25.7932,-80.290604,33.3675,-7.58997
12,33.3675,-7.58997,25.2528,55.364399
12,33.3675,-7.58997,38.7813,-9.13592
12,25.7932,-80.290604,38.7813,-9.13592
12,38.7813,-9.13592,25.2528,55.364399
13,38.7813,-9.13592,48.110298,16.5697
13,8.97789,38.799301,48.110298,16.5697
13,40.080101,116.584999,48.110298,16.5697
13,25.2528,55.364399,48.110298,16.5697
