viz,country,airport
1,AUS,1
1,CAN,1
1,CHN,1
1,JPN,1
1,KIR,1
1,NRU,1
1,NZL,1
1,SGP,1
1,SLB,1
1,TON,1
1,TUV,1
1,USA,1
1,PRI,1
1,VUT,1
1,WSM,1
2,AGO,2
2,ARE,2
2,AUS,1
2,BRA,2
2,BWA,2
2,CAN,1
2,CHE,2
2,CHN,1
2,CMR,2
2,COD,2
2,DEU,2
2,EGY,2
2,ETH,2
2,FRA,2
2,ATF,2
2,NCL,1
2,GAB,2
2,GBR,2
2,FLK,2
2,GHA,2
2,JPN,1
2,KEN,2
2,KIR,1
2,LSO,2
2,MDG,2
2,MOZ,2
2,MUS,2
2,MWI,2
2,NAM,2
2,NGA,2
2,NLD,2
2,NRU,1
2,NZL,1
2,QAT,2
2,RWA,2
2,SGP,1
2,SLB,1
2,SWZ,2
2,SYC,2
2,TON,1
2,TUR,2
2,TUV,1
2,TZA,2
2,UGA,2
2,USA,1
2,PRI,1
2,VUT,1
2,WSM,1
2,ZMB,2
2,ZWE,2
3,AGO,2
3,ARE,3
3,AUS,1
3,AUT,3
3,AZE,3
3,BEL,3
3,BGD,3
3,BLR,3
3,BRA,2
3,BWA,2
3,CAN,1
3,CHE,2
3,CHN,1
3,CMR,2
3,COD,2
3,CZE,3
3,DEU,3
3,DNK,3
3,GRL,3
3,DZA,3
3,EGY,2
3,ESP,3
3,ETH,2
3,FRA,3
3,ATF,2
3,NCL,1
3,GAB,2
3,GBR,3
3,FLK,2
3,GHA,2
3,GRC,3
3,HUN,3
3,IDN,3
3,IRL,3
3,IRN,3
3,IRQ,3
3,ITA,3
3,JPN,3
3,KAZ,3
3,KEN,2
3,KHM,3
3,KIR,1
3,KOR,3
3,LSO,2
3,MDG,2
3,MEX,3
3,MMR,3
3,MNG,3
3,MOZ,2
3,MUS,2
3,MWI,2
3,MYS,3
3,NAM,2
3,NGA,2
3,NLD,3
3,NRU,1
3,NZL,1
3,PAK,3
3,PHL,3
3,POL,3
3,PRK,3
3,QAT,2
3,RUS,3
3,RWA,2
3,SAU,3
3,SGP,3
3,SLB,1
3,SRB,3
3,SWE,3
3,SWZ,2
3,SYC,2
3,THA,3
3,TKM,3
3,TON,1
3,TUR,3
3,TUV,1
3,TWN,3
3,TZA,2
3,UGA,2
3,USA,1
3,PRI,1
3,UZB,3
3,VNM,3
3,VUT,1
3,WSM,1
3,ZMB,2
3,ZWE,2
4,AGO,2
4,ARE,3
4,AUS,1
4,AUT,3
4,AZE,3
4,BEL,3
4,BGD,3
4,BLR,3
4,BRA,2
4,BWA,2
4,CAN,1
4,CHE,2
4,CHN,1
4,CMR,2
4,COD,2
4,CZE,3
4,DEU,3
4,DNK,3
4,GRL,3
4,DZA,3
4,EGY,2
4,ESP,3
4,ETH,2
4,FRA,3
4,ATF,2
4,NCL,1
4,FSM,4
4,GAB,2
4,GBR,3
4,FLK,2
4,GHA,2
4,GRC,3
4,HUN,3
4,IDN,3
4,IRL,3
4,IRN,3
4,IRQ,3
4,ITA,3
4,JPN,3
4,KAZ,3
4,KEN,2
4,KHM,3
4,KIR,1
4,KOR,3
4,LSO,2
4,MDG,2
4,MEX,3
4,MMR,3
4,MNG,3
4,MOZ,2
4,MUS,2
4,MWI,2
4,MYS,3
4,NAM,2
4,NGA,2
4,NLD,3
4,NRU,1
4,NZL,1
4,PAK,3
4,PHL,4
4,PLW,4
4,POL,3
4,PRK,3
4,QAT,2
4,RUS,3
