,orig_cntry,dest_cntry,orig_air,dest_air,orig_code,orig_name,orig_lat,orig_long,orig_alt,dest_code,dest_name,dest_lat,dest_long,dest_alt,orig_hub,dist,orig_iso,dest_iso
1,Afghanistan,India,Kabul,Delhi,KBL,Hamid Karzai International Airport,34.565899,69.212303,5877,DEL,Indira Gandhi International Airport,28.5665,77.103104,777,True,622.174922726026,AFG,IND
2,Afghanistan,Iran,Kabul,Tehran,KBL,Hamid Karzai International Airport,34.565899,69.212303,5877,IKA,Imam Khomeini International Airport,35.41609955,51.15219879,3305,True,1022.54355946279,AFG,IRN
3,Afghanistan,Kuwait,Kabul,Kuwait,KBL,Hamid Karzai International Airport,34.565899,69.212303,5877,KWI,Kuwait International Airport,29.22660065,47.96889877,206,True,1296.74561456024,AFG,KWT
4,Afghanistan,Pakistan,Kabul,Islamabad,KBL,Hamid Karzai International Airport,34.565899,69.212303,5877,ISB,New Islamabad International Airport,33.560713,72.851613,1646,True,219.564430553643,AFG,PAK
5,Afghanistan,Qatar,Kabul,Doha,KBL,Hamid Karzai International Airport,34.565899,69.212303,5877,DOH,Hamad International Airport,25.273056,51.608056,13,True,1231.50578167693,AFG,QAT
6,Afghanistan,Russia,Kabul,Moscow,KBL,Hamid Karzai International Airport,34.565899,69.212303,5877,SVO,Sheremetyevo International Airport,55.972599,37.4146,622,True,2105.60796331045,AFG,RUS
7,Afghanistan,Saudi Arabia,Kabul,Jeddah,KBL,Hamid Karzai International Airport,34.565899,69.212303,5877,JED,King Abdulaziz International Airport,21.6796,39.156502,48,True,2025.63716549815,AFG,SAU
8,Afghanistan,Turkey,Kabul,Istanbul,KBL,Hamid Karzai International Airport,34.565899,69.212303,5877,IST,Istanbul Airport,41.275278,28.751944,325,True,2232.55103858591,AFG,TUR
9,Afghanistan,United Arab Emirates,Kabul,Dubai,KBL,Hamid Karzai International Airport,34.565899,69.212303,5877,DXB,Dubai International Airport,25.25279999,55.36439896,62,True,1047.87858286108,AFG,ARE
10,Afghanistan,Uzbekistan,Kabul,Tashkent,KBL,Hamid Karzai International Airport,34.565899,69.212303,5877,TAS,Tashkent International Airport,41.25790024,69.28119659,1417,True,462.388447914475,AFG,UZB
11,Albania,Austria,Tirana,Vienna,TIA,Tirana International Airport Mother Teresa,41.41469955,19.72060013,126,VIE,Vienna International Airport,48.11029816,16.56970024,600,True,487.650418884338,ALB,AUT
12,Albania,Belgium,Tirana,Brussels,TIA,Tirana International Airport Mother Teresa,41.41469955,19.72060013,126,BRU,Brussels Airport,50.90140152,4.48443985,184,True,977.010441841905,ALB,BEL
13,Albania,Czechia,Tirana,Prague,TIA,Tirana International Airport Mother Teresa,41.41469955,19.72060013,126,PRG,Václav Havel Airport Prague,50.1008,14.26,1247,True,654.90056002876,ALB,CZE
14,Albania,Denmark,Tirana,Copenhagen,TIA,Tirana International Airport Mother Teresa,41.41469955,19.72060013,126,CPH,Copenhagen Kastrup Airport,55.61790085,12.65600014,17,True,1031.94611354576,ALB,DNK
15,Albania,France,Tirana,Paris,TIA,Tirana International Airport Mother Teresa,41.41469955,19.72060013,126,CDG,Charles de Gaulle International Airport,49.012798,2.55,392,True,983.520158312817,ALB,FRA
16,Albania,Germany,Tirana,Frankfurt,TIA,Tirana International Airport Mother Teresa,41.41469955,19.72060013,126,FRA,Frankfurt am Main Airport,50.033333,8.570556,364,True,800.703849281352,ALB,DEU
17,Albania,Greece,Tirana,Athens,TIA,Tirana International Airport Mother Teresa,41.41469955,19.72060013,126,ATH,Eleftherios Venizelos International Airport,37.93640137,23.94449997,308,True,328.871422102236,ALB,GRC
