place,lat,long,article,color
"Alamogordo, United States",33.6773,-106.4754,America 250,#8b2621
"Albany, United States",42.6526,-73.7562,America 250,#8b2621
"Alton, United States",38.8906,-90.1843,America 250,#8b2621
"Annapolis, United States",38.9784,-76.4922,America 250,#8b2621
"Anniston, United States",33.6595,-85.8316,America 250,#8b2621
"Appleton, United States",44.2619,-88.4154,America 250,#8b2621
"Appomattox, United States",37.3589,-78.8264,America 250,#8b2621
"Astoria, United States",46.1879,-123.8313,America 250,#8b2621
"Atlantic City, United States",39.3643,-74.4229,America 250,#8b2621
"Auburn, United States",42.1945,-71.8356,America 250,#8b2621
"Austin, United States",30.2672,-97.7431,America 250,#8b2621
"Avery, United States",47.25,-115.8097,America 250,#8b2621
"Baltimore, United States",39.2854,-76.6324,America 250,#8b2621
"Baton Rouge, United States",30.4515,-91.1871,America 250,#8b2621
"Battle Ground, United States",40.5083,-86.8417,America 250,#8b2621
"Beaumont, United States",30.0194,-94.0777,America 250,#8b2621
"Beaver, United States",36.815,-100.5236,America 250,#8b2621
"Bennington, United States",42.891111,-73.208056,America 250,#8b2621
"Berkeley, United States",37.871667,-122.272778,America 250,#8b2621
"Bethlehem, United States",40.626111,-75.375556,America 250,#8b2621
"Bienville Parish, United States",32.441221,-93.092673,America 250,#8b2621
"Brownsville, United States",26.02007,-97.46538,America 250,#8b2621
"Buffalo, United States",42.8864,-78.8784,America 250,#8b2621
"Buras-Triumph, United States",29.351667,-89.513889,America 250,#8b2621
"Butler, United States",40.85703,-79.971,America 250,#8b2621
"Cabot, United States",44.4014,-72.3123,America 250,#8b2621
"Camp Funston, United States",39.0962,-96.7265,America 250,#8b2621
"Cane Ridge, United States",38.2114,-84.1197,America 250,#8b2621
"Cannon Ball, United States",46.4177,-100.6368,America 250,#8b2621
"Cape Canaveral, United States",28.3922,-80.6077,America 250,#8b2621
"Carlisle, United States",40.2013,-77.1889,America 250,#8b2621
"Chalmette, United States",29.9428,-89.9635,America 250,#8b2621
"Chapel Hill, United States",35.9132,-79.0558,America 250,#8b2621
"Charleston, United States",32.7523,-79.8747,America 250,#8b2621
"Charlotte, United States",35.238517,-80.943757,America 250,#8b2621
"Charlottesville, United States",38.0299,-78.4790,America 250,#8b2621
"Chicago, United States",41.8693,-87.6418,America 250,#8b2621
"Christiana, United States",39.9553,-75.9961,America 250,#8b2621
"Cincinnati, United States",39.1031,-84.512,America 250,#8b2621
"Clear Lake, United States",43.1369,-93.3835,America 250,#8b2621
"Colfax, United States",31.5191,-92.7068,America 250,#8b2621
"Coloma, United States",38.7999,-120.8902,America 250,#8b2621
"Columbus, United States",31.8307,-107.64,America 250,#8b2621
"Concord, United States",43.2081,-71.5376,America 250,#8b2621
"Cupertino, United States",37.33182,-122.03118,America 250,#8b2621
"Custer, United States",43.768,-103.5988,America 250,#8b2621
"Dahlonega, United States",34.5326,-83.9849,America 250,#8b2621
"Dallas, United States",32.7767,-96.797,America 250,#8b2621
"Dayton, United States",35.4931,-85.0125,America 250,#8b2621
"Detroit, United States",42.33,-83.0487,America 250,#8b2621
"Dover, United States",39.1277,-75.4684,America 250,#8b2621
"East Amwell, United States",40.424,-74.7677,America 250,#8b2621
"El Paso, United States",31.7771,-106.3843,America 250,#8b2621
"Ferguson, United States",38.73836,-90.27369,America 250,#8b2621
"Flagstaff, United States",35.202778,-111.664444,America 250,#8b2621
"Flint, United States",43.0125,-83.6875,America 250,#8b2621
"Fort Laramie, United States",42.203,-104.5459,America 250,#8b2621
"Fort Wayne, United States",41.0792,-85.1394,America 250,#8b2621
"Franklin County, United States",38.4372,-95.1089,America 250,#8b2621
"Freehold Borough, United States",40.2563,-74.3209,America 250,#8b2621
"Frenchman Flat, United States",36.807305,-115.936379,America 250,#8b2621
"Galveston, United States",29.2998,-94.7931,America 250,#8b2621
"Garden City, United States",40.737983,-73.612892,America 250,#8b2621
"Gettysburg, United States",39.8309,-77.2311,America 250,#8b2621
"Gnadenhutten, United States",40.36,-81.4294,America 250,#8b2621
"Goleta, United States",34.426,-119.908,America 250,#8b2621
"Greensboro, United States",36.0726,-79.792,America 250,#8b2621
"Greenville, United States",40.1028,-84.633,America 250,#8b2621
"Grovers Mill, United States",40.3167,-74.6094,America 250,#8b2621
"Guayama, Puerto Rico",17.98,-66.1152,America 250,#8b2621
"Guthrie, United States",35.8789,-97.4253,America 250,#8b2621
"Harpers Ferry, United States",39.3254,-77.7389,America 250,#8b2621
"Highland Park, United States",41.4105,-83.0996,America 250,#8b2621
"Houston, United States",29.5593,-95.09,America 250,#8b2621
"Independence, United States",39.0911,-94.4155,America 250,#8b2621
"Jonesborough, United States",36.2943,-82.4735,America 250,#8b2621
"Joplin, United States",37.0842,-94.5133,America 250,#8b2621
"Kent, United States",41.1537,-81.3579,America 250,#8b2621
"Kittery, United States",43.078889,-70.734167,America 250,#8b2621
"Kitty Hawk, United States",36.0123,-75.6674,America 250,#8b2621
"Lahaina, United States",20.8783,-156.6825,America 250,#8b2621
"Lake Placid, United States",44.2822,-73.9828,America 250,#8b2621
"Lawrence, United States",38.9717,-95.2353,America 250,#8b2621
"Lawrence, United States",42.707,-71.1631,America 250,#8b2621
"Lexington, United States",38.0406,-84.5037,America 250,#8b2621
"Little Rock, United States",34.7465,-92.2896,America 250,#8b2621
"Littleton, United States",39.6133,-105.0166,America 250,#8b2621
"Londonderry Township, United States",40.15329,-76.72534,America 250,#8b2621
"Los Angeles, United States",34.056,-118.243,America 250,#8b2621
"Louisville, United States",38.2037,-85.7724,America 250,#8b2621
"Ludlow, United States",37.3333,-104.5833,America 250,#8b2621
"Madison, United States",43.0731,-89.4012,America 250,#8b2621
"Manchester Township, United States",40.0304,-74.3257,America 250,#8b2621
"Martinsburg, United States",39.4562,-77.9639,America 250,#8b2621
"Massillon, United States",40.7967,-81.5215,America 250,#8b2621
"Medicine Lodge, United States",37.2853,-98.5811,America 250,#8b2621
"Memphis, United States",35.1495,-90.049,America 250,#8b2621
"Menlo Park, United States",40.5651,-74.3376,America 250,#8b2621
"Menlo Park, United States",37.453,-122.1817,America 250,#8b2621
"Midland, United States",32,-102.1,America 250,#8b2621
"Minneapolis, United States",44.9778,-93.2651,America 250,#8b2621
"Mobridge, United States",45.539,-100.431,America 250,#8b2621
"Monongah, United States",39.4626,-80.2181,America 250,#8b2621
"Montauk, United States",41.035833,-71.954444,America 250,#8b2621
"Montgomery, United States",32.3792,-86.3077,America 250,#8b2621
"Mountain Meadows, United States",37.4755,-113.6436,America 250,#8b2621
"Nacogdoches, United States",31.6043,-94.6537,America 250,#8b2621
"Natchez, United States",31.554444,-91.3875,America 250,#8b2621
"Neshoba County, United States",32.7599,-89.1,America 250,#8b2621
"New Echota, United States",34.5395,-84.9087,America 250,#8b2621
